organization_id	spark_context_id	job_id	job_group_id	execution_id	stage_ids	cluster_id	notebook_id	notebook_path	db_job_id	db_id_in_job	db_job_type	unixTimeMS	timestamp	date	job_runtime	job_result	event_log_start	event_log_end	user_email
2222170229861029	256026746717797970	2206	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	""	[3098]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248010829	2021-03-09T00:00:10.000Z	2021-03-09	"{""startEpochMS"":1615248010829,""startTS"":""2021-03-09T00:00:10.000Z"",""endEpochMS"":1615248012508,""endTS"":""2021-03-09T00:00:12.000Z"",""runTimeMS"":1679,""runTimeS"":1.679,""runTimeM"":0.027983333333333336,""runTimeH"":4.663888888888889E-4}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2208	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	1253	[3100]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248014599	2021-03-09T00:00:14.000Z	2021-03-09	"{""startEpochMS"":1615248014599,""startTS"":""2021-03-09T00:00:14.000Z"",""endEpochMS"":1615248014951,""endTS"":""2021-03-09T00:00:14.000Z"",""runTimeMS"":352,""runTimeS"":0.352,""runTimeM"":0.005866666666666667,""runTimeH"":9.777777777777778E-5}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2210	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	1252	[3102]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248016264	2021-03-09T00:00:16.000Z	2021-03-09	"{""startEpochMS"":1615248016264,""startTS"":""2021-03-09T00:00:16.000Z"",""endEpochMS"":1615248016397,""endTS"":""2021-03-09T00:00:16.000Z"",""runTimeMS"":133,""runTimeS"":0.133,""runTimeM"":0.0022166666666666667,""runTimeH"":3.694444444444445E-5}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2213	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	""	[3108]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248020146	2021-03-09T00:00:20.000Z	2021-03-09	"{""startEpochMS"":1615248020146,""startTS"":""2021-03-09T00:00:20.000Z"",""endEpochMS"":1615248021723,""endTS"":""2021-03-09T00:00:21.000Z"",""runTimeMS"":1577,""runTimeS"":1.577,""runTimeM"":0.026283333333333332,""runTimeH"":4.380555555555555E-4}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2214	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	""	[3109]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248022041	2021-03-09T00:00:22.000Z	2021-03-09	"{""startEpochMS"":1615248022041,""startTS"":""2021-03-09T00:00:22.000Z"",""endEpochMS"":1615248022372,""endTS"":""2021-03-09T00:00:22.000Z"",""runTimeMS"":331,""runTimeS"":0.331,""runTimeM"":0.005516666666666667,""runTimeH"":9.194444444444445E-5}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2215	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	1257	[3110]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248023918	2021-03-09T00:00:23.000Z	2021-03-09	"{""startEpochMS"":1615248023918,""startTS"":""2021-03-09T00:00:23.000Z"",""endEpochMS"":1615248024205,""endTS"":""2021-03-09T00:00:24.000Z"",""runTimeMS"":287,""runTimeS"":0.287,""runTimeM"":0.004783333333333333,""runTimeH"":7.972222222222221E-5}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2220	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	""	[3118]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248030361	2021-03-09T00:00:30.000Z	2021-03-09	"{""startEpochMS"":1615248030361,""startTS"":""2021-03-09T00:00:30.000Z"",""endEpochMS"":1615248031964,""endTS"":""2021-03-09T00:00:31.000Z"",""runTimeMS"":1603,""runTimeS"":1.603,""runTimeM"":0.026716666666666666,""runTimeH"":4.452777777777778E-4}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2227	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	1260	[3128,3129]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248037954	2021-03-09T00:00:37.000Z	2021-03-09	"{""startEpochMS"":1615248037954,""startTS"":""2021-03-09T00:00:37.000Z"",""endEpochMS"":1615248038040,""endTS"":""2021-03-09T00:00:38.000Z"",""runTimeMS"":86,""runTimeS"":0.086,""runTimeM"":0.0014333333333333331,""runTimeH"":2.3888888888888885E-5}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2231	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	1265	[3135]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248045381	2021-03-09T00:00:45.000Z	2021-03-09	"{""startEpochMS"":1615248045381,""startTS"":""2021-03-09T00:00:45.000Z"",""endEpochMS"":1615248045681,""endTS"":""2021-03-09T00:00:45.000Z"",""runTimeMS"":300,""runTimeS"":0.3,""runTimeM"":0.005,""runTimeH"":8.333333333333333E-5}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
2222170229861029	256026746717797970	2235	1ad23e41-53b2-4b2d-8a82-e9c9dbf9dd5f	1267	[3140,3141,3142]	0120-192629-blent624	2237560951363760	REDACTED_EMAIL/TestStreamingODS	""	""	""	1615248047086	2021-03-09T00:00:47.000Z	2021-03-09	"{""startEpochMS"":1615248047086,""startTS"":""2021-03-09T00:00:47.000Z"",""endEpochMS"":1615248047145,""endTS"":""2021-03-09T00:00:47.000Z"",""runTimeMS"":59,""runTimeS"":0.059,""runTimeM"":9.833333333333332E-4,""runTimeH"":1.6388888888888886E-5}"	"{""Result"":""JobSucceeded"",""Exception"":{}}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	"{""filename"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9/256026746717797970/eventlog-2021-03-09--01-00.gz"",""byCluster"":""dbfs:/mnt/cluster-logs"",""byDriverHost"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog"",""bySparkContext"":""dbfs:/mnt/cluster-logs/0120-192629-blent624/eventlog/0120-192629-blent624_10_139_64_9""}"	REDACTED_EMAIL
