	Name,API_Name,Memory_GB,vCPUs,Compute_Contract_Price,On_Demand_Cost_Hourly,Hourly_DBUs,GPUs,GPU_Model,GPU_Memory_GB,Physical_Processor,Clock_Speed_GHz,Instance_Storage,Network_Performance,EBS_Optimized_Max_Bandwidth_Mbps,EBS_Optimized_Max_Throughput_128K_Mbps,EBS_As_NVMe,Enhanced_Networking,Linux_Reserved_Cost_Hourly,EBS_Optimized_Surcharge_Hourly
I2 Double Extra Large,i2.2xlarge,61.0,8,1.705,1.705,3.00,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,1600 GiB (2 * 800 GiB SSD),High,1000,125,FALSE,TRUE,0.848,0.05
I2 Quadruple Extra Large,i2.4xlarge,122.0,16,3.41,3.41,6.00,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,3200 GiB (4 * 800 GiB SSD),High,2000,250,FALSE,TRUE,1.696,0.1
I2 Eight Extra Large,i2.8xlarge,244.0,32,6.82,6.82,12.00,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,6400 GiB (8 * 800 GiB SSD),10 Gigabit,0,0,FALSE,TRUE,3.392,0
I2 Extra Large,i2.xlarge,30.5,4,0.853,0.853,1.50,0,None,0,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5,800 GiB SSD,Moderate,500,62.5,FALSE,TRUE,0.424,0.02
I3 High I/O 16xlarge,i3.16xlarge,488.0,64,4.992,4.992,16.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,15200 GiB (8 * 1900 GiB NVMe SSD),20 Gigabit,14000,1750,FALSE,TRUE,3.427,0
I3 High I/O Double Extra Large,i3.2xlarge,61.0,8,0.624,0.624,2.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,1900 GiB NVMe SSD,Up to 10 Gigabit,1700,212.5,FALSE,TRUE,0.428,0
I3 High I/O Quadruple Extra Large,i3.4xlarge,122.0,16,1.248,1.248,4.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,3800 GiB (2 * 1900 GiB NVMe SSD),Up to 10 Gigabit,3500,437.5,FALSE,TRUE,0.857,0
I3 High I/O Eight Extra Large,i3.8xlarge,244.0,32,2.496,2.496,8.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,7600 GiB (4 * 1900 GiB NVMe SSD),10 Gigabit,7000,875,FALSE,TRUE,1.714,0
I3 High I/O Large,i3.large,15.3,2,0.156,0.156,0.75,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,475 GiB NVMe SSD,Up to 10 Gigabit,425,53.13,FALSE,TRUE,0.107,0
I3 High I/O Extra Large,i3.xlarge,30.5,4,0.312,0.312,1.00,0,None,0,Intel Xeon E5-2686 v4 (Broadwell),2.3,950 GiB NVMe SSD,Up to 10 Gigabit,850,106.25,FALSE,TRUE,0.214,0
I3EN 12xlarge,i3en.12xlarge,384.0,48,5.424,5.424,17.40,0,None,0,Intel Xeon Platinum 8175,3.1,30000 GiB (4 * 7500 GiB NVMe SSD),50 Gigabit,7000,875,TRUE,TRUE,3.694,0
I3EN 24xlarge,i3en.24xlarge,768.0,96,10.848,10.848,34.80,0,None,0,Intel Xeon Platinum 8175,3.1,60000 GiB (8 * 7500 GiB NVMe SSD),100 Gigabit,14000,1750,TRUE,TRUE,7.388,0
I3EN Double Extra Large,i3en.2xlarge,64.0,8,0.904,0.904,2.90,0,None,0,Intel Xeon Platinum 8175,3.1,5000 GiB (2 * 2500 GiB NVMe SSD),Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.616,0
I3EN 3xlarge,i3en.3xlarge,96.0,12,1.356,1.356,4.35,0,None,0,Intel Xeon Platinum 8175,3.1,7500 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.924,0
I3EN 6xlarge,i3en.6xlarge,192.0,24,2.712,2.712,8.70,0,None,0,Intel Xeon Platinum 8175,3.1,15000 GiB (2 * 7500 GiB NVMe SSD),25 Gigabit,3500,437.5,TRUE,TRUE,1.847,0
I3EN Large,i3en.large,16.0,2,0.226,0.226,0.75,0,None,0,Intel Xeon Platinum 8175,3.1,1250 GiB NVMe SSD,Up to 25 Gigabit,3500,437.5,TRUE,TRUE,0.154,0
